dataset_id	movie_name	entity_url	entity_id
1046	Beautiful Thing (1996)	http://dbpedia.org/resource/Beautiful_Thing_(film)	8668
1015	Homeward Bound: The Incredible Journey (1993)	http://dbpedia.org/resource/Homeward_Bound:_The_Incredible_Journey	13064
2818	Iron Eagle IV (1995)	http://dbpedia.org/resource/Iron_Eagle_on_the_Attack	8060
3425	Mo' Better Blues (1990)	http://dbpedia.org/resource/Mo'_Better_Blues	11335
1484	Daytrippers, The (1996)	http://dbpedia.org/resource/The_Daytrippers	4511
913	Maltese Falcon, The (1941)	http://dbpedia.org/resource/The_Maltese_Falcon_(1941_film)	12203
1730	Kundun (1997)	http://dbpedia.org/resource/Kundun	12291
782	Fan, The (1996)	http://dbpedia.org/resource/The_Fan_(1996_film)	2867
440	Dave (1993)	http://dbpedia.org/resource/Dave_(film)	13799
1447	Gridlock'd (1997)	http://dbpedia.org/resource/Gridlock'd	8368
2096	Sleeping Beauty (1959)	http://dbpedia.org/resource/Sleeping_Beauty_(1959_film)	7195
1217	Ran (1985)	http://dbpedia.org/resource/Ran_(film)	1895
2264	We're No Angels (1989)	http://dbpedia.org/resource/We're_No_Angels_(1989_film)	8331
121	Boys of St. Vincent, The (1993)	http://dbpedia.org/resource/The_Boys_of_St._Vincent	9778
299	Priest (1994)	http://dbpedia.org/resource/Priest_(1994_film)	9288
3556	Virgin Suicides, The (1999)	http://dbpedia.org/resource/The_Virgin_Suicides_(film)	3962
2953	Home Alone 2: Lost in New York (1992)	http://dbpedia.org/resource/Home_Alone_2:_Lost_in_New_York	6637
2135	Doctor Dolittle (1967)	http://dbpedia.org/resource/Doctor_Dolittle_(film)	2212
518	Road to Wellville, The (1994)	http://dbpedia.org/resource/The_Road_to_Wellville_(film)	12357
936	Ninotchka (1939)	http://dbpedia.org/resource/Ninotchka	7314
1731	Mr. Magoo (1997)	http://dbpedia.org/resource/Mr._Magoo_(film)	4488
3803	Greaser's Palace (1972)	http://dbpedia.org/resource/Greaser's_Palace	11726
2437	Wilde (1997)	http://dbpedia.org/resource/Wilde_(film)	14241
2392	Jack Frost (1998)	http://dbpedia.org/resource/Jack_Frost_(1998_film)	141
2819	Three Days of the Condor (1975)	http://dbpedia.org/resource/Three_Days_of_the_Condor	11597
2002	Lethal Weapon 3 (1992)	http://dbpedia.org/resource/Lethal_Weapon_3	6706
3039	Trading Places (1983)	http://dbpedia.org/resource/Trading_Places	3817
390	Faster Pussycat! Kill! Kill! (1965)	http://dbpedia.org/resource/Faster,_Pussycat!_Kill!_Kill!	6572
1591	Spawn (1997)	http://dbpedia.org/resource/Spawn_(film)	8043
1711	Midnight in the Garden of Good and Evil (1997)	http://dbpedia.org/resource/Midnight_in_the_Garden_of_Good_and_Evil_(film)	12651
3347	Never Cry Wolf (1983)	http://dbpedia.org/resource/Never_Cry_Wolf_(film)	1295
3167	Carnal Knowledge (1971)	http://dbpedia.org/resource/Carnal_Knowledge	2993
914	My Fair Lady (1964)	http://dbpedia.org/resource/My_Fair_Lady_(film)	5085
1624	Thousand Acres, A (1997)	http://dbpedia.org/resource/A_Thousand_Acres_(film)	658
1047	Long Kiss Goodnight, The (1996)	http://dbpedia.org/resource/The_Long_Kiss_Goodnight	9128
519	Robocop 3 (1993)	http://dbpedia.org/resource/RoboCop_3	4168
300	Quiz Show (1994)	http://dbpedia.org/resource/Quiz_Show_(film)	10438
1437	Cement Garden, The (1993)	http://dbpedia.org/resource/The_Cement_Garden_(film)	6095
3557	Jennifer 8 (1992)	http://dbpedia.org/resource/Jennifer_8	8188
1801	Man in the Iron Mask, The (1998)	http://dbpedia.org/resource/The_Man_in_the_Iron_Mask_(1998_film)	14627
2097	Something Wicked This Way Comes (1983)	http://dbpedia.org/resource/Something_Wicked_This_Way_Comes_(film)	10098
524	Rudy (1993)	http://dbpedia.org/resource/Rudy_(film)	11598
391	Jason's Lyric (1994)	http://dbpedia.org/resource/Jason's_Lyric	2640
3426	Jungle Fever (1991)	http://dbpedia.org/resource/Jungle_Fever	2788
554	Trial by Jury (1994)	http://dbpedia.org/resource/Trial_by_Jury_(film)	1733
1732	Big Lebowski, The (1998)	http://dbpedia.org/resource/The_Big_Lebowski	13259
3804	H.O.T.S. (1979)	http://dbpedia.org/resource/H.O.T.S.	5476
3168	Easy Rider (1969)	http://dbpedia.org/resource/Easy_Rider	7019
1713	Mouse Hunt (1997)	http://dbpedia.org/resource/MouseHunt_(film)	14051
1449	Waiting for Guffman (1996)	http://dbpedia.org/resource/Waiting_for_Guffman	11614
2764	Thomas Crown Affair, The (1968)	http://dbpedia.org/resource/The_Thomas_Crown_Affair_(1968_film)	4183
3597	Whipped (2000)	http://dbpedia.org/resource/Whipped_(film)	8884
4	Waiting to Exhale (1995)	http://dbpedia.org/resource/Waiting_to_Exhale	13328
520	Robin Hood: Men in Tights (1993)	http://dbpedia.org/resource/Robin_Hood:_Men_in_Tights	1918
301	Picture Bride (1995)	http://dbpedia.org/resource/Picture_Bride_(film)	6097
1049	Ghost and the Darkness, The (1996)	http://dbpedia.org/resource/The_Ghost_and_the_Darkness	10309
1438	Dante's Peak (1997)	http://dbpedia.org/resource/Dante's_Peak	1042
28	Persuasion (1995)	http://dbpedia.org/resource/Persuasion_(1995_film)	6444
1179	Grifters, The (1990)	http://dbpedia.org/resource/The_Grifters_(film)	3964
252	I.Q. (1994)	http://dbpedia.org/resource/I.Q._(film)	10029
3221	Draughtsman's Contract, The (1982)	http://dbpedia.org/resource/The_Draughtsman's_Contract	2126
2523	Rollercoaster (1977)	http://dbpedia.org/resource/Rollercoaster_(1977_film)	13289
2765	Acid House, The (1998)	http://dbpedia.org/resource/The_Acid_House_(film)	6239
1804	Newton Boys, The (1998)	http://dbpedia.org/resource/The_Newton_Boys	4745
3427	Coogan's Bluff (1968)	http://dbpedia.org/resource/Coogan's_Bluff_(film)	10259
3805	Knightriders (1981)	http://dbpedia.org/resource/Knightriders	642
442	Demolition Man (1993)	http://dbpedia.org/resource/Demolition_Man_(film)	8970
2006	Mask of Zorro, The (1998)	http://dbpedia.org/resource/The_Mask_of_Zorro	11575
1293	Gandhi (1982)	http://dbpedia.org/resource/Gandhi_(film)	5781
2439	Affliction (1997)	http://dbpedia.org/resource/Affliction_(film)	1699
525	Saint of Fort Washington, The (1993)	http://dbpedia.org/resource/The_Saint_of_Fort_Washington	3288
253	Interview with the Vampire (1994)	http://dbpedia.org/resource/Interview_with_the_Vampire:_The_Vampire_Chronicles	13460
555	True Romance (1993)	http://dbpedia.org/resource/True_Romance	14680
1733	Afterglow (1997)	http://dbpedia.org/resource/Afterglow_(film)	14238
2249	My Blue Heaven (1990)	http://dbpedia.org/resource/My_Blue_Heaven_(1990_film)	10209
835	Foxfire (1996)	http://dbpedia.org/resource/Foxfire_(1996_film)	13097
3169	Falcon and the Snowman, The (1984)	http://dbpedia.org/resource/The_Falcon_and_the_Snowman	10128
1715	Office Killer (1997)	http://dbpedia.org/resource/Office_Killer	10294
3720	Sunshine (1999)	http://dbpedia.org/resource/Sunshine_(1999_film)	14415
2393	Star Trek: Insurrection (1998)	http://dbpedia.org/resource/Star_Trek:_Insurrection	31
1016	Shaggy Dog, The (1959)	http://dbpedia.org/resource/The_Shaggy_Dog_(1959_film)	11801
29	City of Lost Children, The (1995)	http://dbpedia.org/resource/The_City_of_Lost_Children	5614
5	Father of the Bride Part II (1995)	http://dbpedia.org/resource/Father_of_the_Bride_Part_II	4871
3806	MacKenna's Gold (1969)	http://dbpedia.org/resource/Mackenna's_Gold	12615
3463	Last Resort (1994)	http://dbpedia.org/resource/Last_Resort_(1986_film)	6156
2524	Towering Inferno, The (1974)	http://dbpedia.org/resource/The_Towering_Inferno	8981
254	Jefferson in Paris (1995)	http://dbpedia.org/resource/Jefferson_in_Paris	14118
443	Endless Summer 2, The (1994)	http://dbpedia.org/resource/The_Endless_Summer_II	9893
786	Eraser (1996)	http://dbpedia.org/resource/Eraser_(film)	5334
2250	Men Don't Leave (1990)	http://dbpedia.org/resource/Men_Don't_Leave	8516
556	War Room, The (1993)	http://dbpedia.org/resource/The_War_Room	8050
3684	Fabulous Baker Boys, The (1989)	http://dbpedia.org/resource/The_Fabulous_Baker_Boys	3508
2638	Mummy's Tomb, The (1942)	http://dbpedia.org/resource/The_Mummy's_Tomb	7472
937	Love in the Afternoon (1957)	http://dbpedia.org/resource/Love_in_the_Afternoon_(1957_film)	115
393	Street Fighter (1994)	http://dbpedia.org/resource/Street_Fighter_(1994_film)	5421
2098	Son of Flubber (1963)	http://dbpedia.org/resource/Son_of_Flubber	3028
2007	Polish Wedding (1998)	http://dbpedia.org/resource/Polish_Wedding	271
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	http://dbpedia.org/resource/Shanghai_Triad	14147
3946	Get Carter (2000)	http://dbpedia.org/resource/Get_Carter_(2000_film)	6900
1050	Looking for Richard (1996)	http://dbpedia.org/resource/Looking_for_Richard	9386
3464	Solar Crisis (1993)	http://dbpedia.org/resource/Solar_Crisis_(film)	8187
1439	Meet Wally Sparks (1997)	http://dbpedia.org/resource/Meet_Wally_Sparks	1855
1734	My Life in Pink (Ma vie en rose) (1997)	http://dbpedia.org/resource/Ma_vie_en_rose	3260
444	Even Cowgirls Get the Blues (1993)	http://dbpedia.org/resource/Even_Cowgirls_Get_the_Blues_(film)	12575
3807	Sinbad and the Eye of the Tiger (1977)	http://dbpedia.org/resource/Sinbad_and_the_Eye_of_the_Tiger	8314
3296	To Sir with Love (1967)	http://dbpedia.org/resource/To_Sir,_with_Love_II	1771
163	Desperado (1995)	http://dbpedia.org/resource/Desperado_(film)	5777
255	Jerky Boys, The (1994)	http://dbpedia.org/resource/The_Jerky_Boys:_The_Movie	4892
2394	Prince of Egypt, The (1998)	http://dbpedia.org/resource/The_Prince_of_Egypt	12037
938	Gigi (1958)	http://dbpedia.org/resource/Gigi_(1958_film)	9644
2639	Mommie Dearest (1981)	http://dbpedia.org/resource/Mommie_Dearest_(film)	5298
3685	Prizzi's Honor (1985)	http://dbpedia.org/resource/Prizzi's_Honor	8790
1485	Liar Liar (1997)	http://dbpedia.org/resource/Liar,_Liar_(1993_film)	13251
2099	Song of the South (1946)	http://dbpedia.org/resource/Song_of_the_South	4545
1922	Whatever (1998)	http://dbpedia.org/resource/Whatever_Works	6225
1453	Beautician and the Beast, The (1997)	http://dbpedia.org/resource/The_Beautician_and_the_Beast	2267
2003	Gremlins (1984)	http://dbpedia.org/resource/Gremlins	13841
1093	Doors, The (1991)	http://dbpedia.org/resource/The_Doors_(film)	7790
132	Jade (1995)	http://dbpedia.org/resource/Jade_(film)	2519
1717	Scream 2 (1997)	http://dbpedia.org/resource/Scream_2	13890
31	Dangerous Minds (1995)	http://dbpedia.org/resource/Dangerous_Minds	2358
2265	Nothing But Trouble (1991)	http://dbpedia.org/resource/Nothing_but_Trouble_(1991_film)	11081
2766	Adventures of Sebastian Cole, The (1998)	http://dbpedia.org/resource/The_Adventures_of_Sebastian_Cole	2961
3863	Cell, The (2000)	http://dbpedia.org/resource/Cell_Phone_(film)	9611
1051	Trees Lounge (1996)	http://dbpedia.org/resource/Trees_Lounge	11744
3808	Two Women (La Ciociara) (1961)	http://dbpedia.org/resource/Two_Women	6168
2440	Another Day in Paradise (1998)	http://dbpedia.org/resource/Another_Day_in_Paradise_(film)	10322
1294	M*A*S*H (1970)	http://dbpedia.org/resource/MASH_(film)	11871
445	Fatal Instinct (1993)	http://dbpedia.org/resource/Fatal_Instinct	13228
1311	Santa with Muscles (1996)	http://dbpedia.org/resource/Santa_with_Muscles	14054
3550	Hunger, The (1983)	http://dbpedia.org/resource/The_Hunger_Games_(film)	2087
2004	Gremlins 2: The New Batch (1990)	http://dbpedia.org/resource/Gremlins_2:_The_New_Batch	6483
3465	That's Life! (1986)	http://dbpedia.org/resource/That's_Life!_(film)	4503
2395	Rushmore (1998)	http://dbpedia.org/resource/Rushmore_(film)	2139
1580	Men in Black (1997)	http://dbpedia.org/resource/Men_in_Black_(film)	13836
164	Devil in a Blue Dress (1995)	http://dbpedia.org/resource/Devil_in_a_Blue_Dress_(film)	3237
2650	Ghost of Frankenstein, The (1942)	http://dbpedia.org/resource/The_Ghost_of_Frankenstein	3492
2767	Illuminata (1998)	http://dbpedia.org/resource/Illuminata_(film)	5283
939	Reluctant Debutante, The (1958)	http://dbpedia.org/resource/The_Reluctant_Debutante_(film)	1678
122	Boomerang (1992)	http://dbpedia.org/resource/Boomerang_(1992_film)	7786
1923	There's Something About Mary (1998)	http://dbpedia.org/resource/There's_Something_About_Mary	3417
394	Coldblooded (1995)	http://dbpedia.org/resource/Coldblooded_(film)	8173
3809	What About Bob? (1991)	http://dbpedia.org/resource/What_About_Bob%3F	8695
3298	Boiler Room (2000)	http://dbpedia.org/resource/Boiler_Room_(film)	10751
836	Chain Reaction (1996)	http://dbpedia.org/resource/Chain_Reaction_(film)	5744
783	Hunchback of Notre Dame, The (1996)	http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame_(1996_film)	6306
2558	Forces of Nature (1999)	http://dbpedia.org/resource/Forces_of_Nature	11509
527	Schindler's List (1993)	http://dbpedia.org/resource/Schindler's_List	11194
3551	Marathon Man (1976)	http://dbpedia.org/resource/Marathon_Man_(film)	427
1094	Crying Game, The (1992)	http://dbpedia.org/resource/The_Crying_Game	8962
2266	Butcher's Wife, The (1991)	http://dbpedia.org/resource/The_Butcher's_Wife	12005
1581	Out to Sea (1997)	http://dbpedia.org/resource/Out_to_Sea	8422
3097	Shop Around the Corner, The (1940)	http://dbpedia.org/resource/The_Shop_Around_the_Corner	2022
2768	Stiff Upper Lips (1998)	http://dbpedia.org/resource/Stiff_Upper_Lips	14652
2176	Rope (1948)	http://dbpedia.org/resource/Rope_(film)	11380
2009	Soylent Green (1973)	http://dbpedia.org/resource/Soylent_Green	8897
915	Sabrina (1954)	http://dbpedia.org/resource/Sabrina_(1954_film)	6836
32	Twelve Monkeys (1995)	http://dbpedia.org/resource/12_Monkeys	11618
2396	Shakespeare in Love (1998)	http://dbpedia.org/resource/Shakespeare_in_Love	13331
1017	Swiss Family Robinson (1960)	http://dbpedia.org/resource/Swiss_Family_Robinson_(1960_film)	7828
2136	Nutty Professor, The (1963)	http://dbpedia.org/resource/The_Nutty_Professor	14077
3810	White Sands (1992)	http://dbpedia.org/resource/White_Sands_(film)	5592
1351	Blood & Wine (1997)	http://dbpedia.org/resource/Blood_Diamond_(film)	13691
2651	Frankenstein Meets the Wolf Man (1943)	http://dbpedia.org/resource/Frankenstein_Meets_the_Wolf_Man	7012
1582	Wild America (1997)	http://dbpedia.org/resource/Wild_America_(film)	14232
1053	Normal Life (1996)	http://dbpedia.org/resource/Normal_Life	13169
2441	Hi-Lo Country, The (1998)	http://dbpedia.org/resource/The_Hi-Lo_Country	873
1718	Stranger in the House (1997)	http://dbpedia.org/resource/Stranger_in_the_House_(1967_film)	6449
3299	Hanging Up (2000)	http://dbpedia.org/resource/Hanging_Up	6718
165	Die Hard: With a Vengeance (1995)	http://dbpedia.org/resource/Die_Hard_with_a_Vengeance	2088
3947	Get Carter (1971)	http://dbpedia.org/resource/Get_Carter	2792
2267	Mortal Thoughts (1991)	http://dbpedia.org/resource/Mortal_Thoughts	1689
3466	Heart and Souls (1993)	http://dbpedia.org/resource/Heart_and_Souls	1996
1295	Unbearable Lightness of Being, The (1988)	http://dbpedia.org/resource/The_Unbearable_Lightness_of_Being_(film)	8916
3686	Flatliners (1990)	http://dbpedia.org/resource/Flatliners	10813
446	Farewell My Concubine (1993)	http://dbpedia.org/resource/Farewell_My_Concubine_(film)	3626
1583	Simple Wish, A (1997)	http://dbpedia.org/resource/A_Simple_Wish	8678
3559	Limelight (1952)	http://dbpedia.org/resource/Limelight_(1952_film)	7577
1486	Quiet Room, The (1996)	http://dbpedia.org/resource/The_Quiet_Room	9908
2100	Splash (1984)	http://dbpedia.org/resource/Splash_(film)	2524
1313	Mad Dog Time (1996)	http://dbpedia.org/resource/Mad_Dog_Time	7855
2025	Lolita (1997)	http://dbpedia.org/resource/Lolita_(1997_film)	12814
125	Flirting With Disaster (1996)	http://dbpedia.org/resource/Flirting_with_Disaster_(film)	7454
2780	Raven, The (1963)	http://dbpedia.org/resource/The_Raven_(1963_film)	13055
3721	Trixie (1999)	http://dbpedia.org/resource/Trixie_(film)	3179
1719	Sweet Hereafter, The (1997)	http://dbpedia.org/resource/The_Sweet_Hereafter_(film)	1647
3814	Love and Death (1975)	http://dbpedia.org/resource/Love_and_Death	4963
1095	Glengarry Glen Ross (1992)	http://dbpedia.org/resource/Glengarry_Glen_Ross_(film)	7131
1296	Room with a View, A (1986)	http://dbpedia.org/resource/Room_with_a_View	592
2652	Curse of Frankenstein, The (1957)	http://dbpedia.org/resource/The_Curse_of_Frankenstein	13629
784	Cable Guy, The (1996)	http://dbpedia.org/resource/Larry_the_Cable_Guy:_Health_Inspector	14455
916	Roman Holiday (1953)	http://dbpedia.org/resource/Roman_Holiday_(1987_film)	3344
3552	Caddyshack (1980)	http://dbpedia.org/resource/Caddyshack_II	10144
1219	Psycho (1960)	http://dbpedia.org/resource/Psycho_(1960_film)	5285
1054	Get on the Bus (1996)	http://dbpedia.org/resource/Get_on_the_Bus	8245
256	Junior (1994)	http://dbpedia.org/resource/Junior_(1994_film)	47
2311	2010 (1984)	http://dbpedia.org/resource/2010_(film)	10102
2268	Few Good Men, A (1992)	http://dbpedia.org/resource/A_Few_Good_Men	1439
558	Pagemaster, The (1994)	http://dbpedia.org/resource/The_Pagemaster	9810
1440	Amos & Andrew (1993)	http://dbpedia.org/resource/Amos_&_Andrew	11000
653	Dragonheart (1996)	http://dbpedia.org/resource/Dragonheart	2625
303	Quick and the Dead, The (1995)	http://dbpedia.org/resource/The_Quick_and_the_Dead_(1995_film)	10689
2252	Hero (1992)	http://dbpedia.org/resource/Everyone's_Hero	3716
3300	Pitch Black (2000)	http://dbpedia.org/resource/Pitch_Black_(film)	12244
2101	Squanto: A Warrior's Tale (1994)	http://dbpedia.org/resource/Squanto:_A_Warrior's_Tale	3718
2442	Hilary and Jackie (1998)	http://dbpedia.org/resource/Hilary_and_Jackie	10856
1297	Real Genius (1985)	http://dbpedia.org/resource/Real_Genius	2554
166	Doom Generation, The (1995)	http://dbpedia.org/resource/The_Doom_Generation	9143
2912	Limey, The (1999)	http://dbpedia.org/resource/The_Limey	14457
126	NeverEnding Story III, The (1994)	http://dbpedia.org/resource/The_NeverEnding_Story_III	9560
3865	Original Kings of Comedy, The (2000)	http://dbpedia.org/resource/The_Original_Kings_of_Comedy	1777
2397	Mass Appeal (1984)	http://dbpedia.org/resource/Mass_Appeal_(film)	1268
257	Just Cause (1995)	http://dbpedia.org/resource/Just_Cause_(film)	4205
2177	Family Plot (1976)	http://dbpedia.org/resource/Family_Plot	5078
2781	Tingler, The (1959)	http://dbpedia.org/resource/The_Tingler	9817
1018	That Darn Cat! (1965)	http://dbpedia.org/resource/That_Darn_Cat!	5414
1352	Albino Alligator (1996)	http://dbpedia.org/resource/Albino_Alligator	1658
1055	Shadow Conspiracy (1997)	http://dbpedia.org/resource/Shadow_Conspiracy	14453
2026	Disturbing Behavior (1998)	http://dbpedia.org/resource/Disturbing_Behavior	11347
2269	Indecent Proposal (1993)	http://dbpedia.org/resource/Indecent_Proposal	7451
2640	Superman (1978)	http://dbpedia.org/resource/Superman_(1978_film)	5445
1625	Game, The (1997)	http://dbpedia.org/resource/Death_Proof	11896
263	Ladybird Ladybird (1994)	http://dbpedia.org/resource/Ladybird,_Ladybird_(film)	3648
